scenario,parameter,carrier (MW),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
base,max_installed_limit,solar,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base,max_installed_limit,onwind,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base,max_installed_limit,CCGT,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base,max_installed_limit,OCGT,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base,max_installed_limit,biomass,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base,max_installed_limit,coal,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base,max_installed_limit,nuclear,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
base,max_installed_limit,hydro-import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
base,max_installed_limit,PHS,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
base,max_installed_limit,battery,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base,min_installed_limit,solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
base,min_installed_limit,onwind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
base,min_installed_limit,CCGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
base,min_installed_limit,OCGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
base,min_installed_limit,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
base,min_installed_limit,nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
base,min_installed_limit,hydro-import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
base,min_installed_limit,PHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
base,min_installed_limit,battery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
